"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/ArtistDropbox/Frame.Frame","16","8","8","1","3.646076","0","8"
"/Game/ArtistDropbox/Baseplate.Baseplate","16","8","0","1","0.000000","0","0"
"/Game/ArtistDropbox/Glass.Glass","16","26","0","1","0.000000","0","0"
"/Game/ArtistDropbox/M_ManaLiquid.M_ManaLiquid","16","22","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","16","0","156","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","16","0","120","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","16","0","140","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","16","0","48","2","0.000000","0","0"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","16","0","140","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","16","0","156","6","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","0","62","6","0.000000","0","7"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","16","0","4","1","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","16","0","68","2","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","0","36","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","0","36","1","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","16","0","16","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","0","88","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","16","0","7","1","0.000000","0","7"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","16","0","14","2","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","0","46","2","0.000000","0","0"
"/Game/ArtistDropbox/Material.Material","16","0","8","1","0.000000","0","0"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","16","0","5","1","0.000000","0","0"
"/Engine/EditorResources/MaterialBackdrop_Mat.MaterialBackdrop_Mat","16","0","18","1","0.000000","0","0"
"/Engine/EditorMaterials/CheckMaterial.CheckMaterial","16","0","17","1","0.000000","0","0"
