"ShaderTypeName","ShaderType","Frequency","NumShaders","ShadersSize"
"FARGB16BigConvertPS","Global","SF_Pixel","1","7489"
"FAYUVConvertPS","Global","SF_Pixel","1","5671"
"FAccumulateCubeFacesPS","Global","SF_Pixel","1","5114"
"FAccumulateDiffuseIrradiancePS","Global","SF_Pixel","1","7426"
"FAllocateBottomLevelGrid","Global","SF_Compute","2","14046"
"FAllocatePagesCS","Global","SF_Compute","12","167496"
"FAllocateProbeTracesCS","Global","SF_Compute","1","9883"
"FAllocateSparseVoxels","Global","SF_Compute","1","6448"
"FAllocateSparseVoxelsToRefine","Global","SF_Compute","1","7927"
"FAllocateUsedProbesCS","Global","SF_Compute","2","19712"
"FAlphaInvertPS","Global","SF_Pixel","1","4227"
"FAmbientCubemapCompositePS","Global","SF_Pixel","1","13566"
"FAmbientOcclusionCS","Global","SF_Compute","14","208557"
"FAmbientOcclusionPS","Global","SF_Pixel","18","261816"
"FAmbientOcclusionSetupPS","Global","SF_Pixel","1","7988"
"FAmbientOcclusionSmoothCS","Global","SF_Compute","1","5927"
"FApplyLightShaftsPixelShader","Global","SF_Pixel","1","4876"
"FApplyLocalExposureCS","Global","SF_Compute","1","9692"
"FApplyLowerHemisphereColorPS","Global","SF_Pixel","1","6259"
"FBMPConvertPS","Global","SF_Pixel","1","5307"
"FBasicEyeAdaptationCS","Global","SF_Compute","2","22730"
"FBasicEyeAdaptationSetupPS","Global","SF_Pixel","1","5836"
"FBinkDrawICtCpPS","Global","SF_Pixel","8","49375"
"FBinkDrawVS","Global","SF_Vertex","1","5023"
"FBinkDrawYCbCrPS","Global","SF_Pixel","4","21279"
"FBlendDistortionDisplacementMapCS","Global","SF_Compute","4","24540"
"FBloomClampKernelCS","Global","SF_Compute","1","5846"
"FBloomDownsampleKernelCS","Global","SF_Compute","1","5567"
"FBloomFinalizeApplyConstantsCS","Global","SF_Compute","1","5970"
"FBloomFindKernelCenterCS","Global","SF_Compute","1","7812"
"FBloomPackKernelConstantsCS","Global","SF_Compute","1","5670"
"FBloomReduceKernelSurveyCS","Global","SF_Compute","1","5700"
"FBloomResizeKernelCS","Global","SF_Compute","1","8344"
"FBloomSetupCS","Global","SF_Compute","4","33410"
"FBloomSetupPS","Global","SF_Pixel","4","30819"
"FBloomSumScatterDispersionEnergyCS","Global","SF_Compute","1","6544"
"FBloomSurveyKernelCenterEnergyCS","Global","SF_Compute","1","7243"
"FBloomSurveyMaxScatterDispersionCS","Global","SF_Compute","1","7420"
"FBlurLightShaftsPixelShader","Global","SF_Pixel","1","6846"
"FBuildCardsUpdateListCS","Global","SF_Compute","2","25550"
"FBuildFeedbackHashTableCS","Global","SF_Compute","2","13637"
"FBuildFeedbackHashTableIndirectArgsCS","Global","SF_Compute","1","5275"
"FBuildGridTilesCS","Global","SF_Compute","1","9909"
"FBuildHeightfieldComposeTilesCS","Global","SF_Compute","1","5948"
"FBuildHeightfieldComposeTilesIndirectArgBufferCS","Global","SF_Compute","1","4682"
"FBuildIndirectDispatchArgsBufferCS","Global","SF_Compute","1","5350"
"FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs","Global","SF_Compute","64","1320779"
"FBuildLandscapeTileDataCS","Global","SF_Compute","1","12260"
"FBuildLightTilesCS","Global","SF_Compute","6","122312"
"FBuildMajorantVoxelGridCS","Global","SF_Compute","2","12524"
"FBuildPageUpdatePriorityHistogramCS","Global","SF_Compute","2","21446"
"FBuildPhysicsFieldClipmapCS","Global","SF_Compute","1","25424"
"FBuildRadiosityTilesCS","Global","SF_Compute","1","7758"
"FBuildShadingEnergyConservationTableCS","Global","SF_Compute","4","32593"
"FBuildTileConesCS","Global","SF_Compute","1","9746"
"FBuildVisualizeProbesCS","Global","SF_Compute","1","12529"
"FCalculateCardTileDepthRangesCS","Global","SF_Compute","1","7813"
"FCalculateCompactBlockInstanceOffsetsCs","Global","SF_Compute","1","6852"
